ElapsedSec,ALT,Pres
48.95,-29.04,101674.33
49.03,-29.04,101674.33
49.1,-29.04,101674.33
49.17,-29.04,101674.33
49.26,-29.04,101674.33
49.33,-29.04,101674.33
49.4,-29.04,101674.33
49.46,-29.04,101674.33
49.53,-29.04,101674.33
49.6,-29.04,101674.33
49.66,-29.04,101674.33
49.73,-29.04,101674.33
49.8,-29.04,101674.33
49.86,-29.04,101674.33
49.93,-29.04,101674.33
50.0,-29.04,101674.33
50.06,-29.04,101674.33
50.13,-29.04,101674.33
50.2,-29.04,101674.33
50.26,-29.04,101674.33
50.33,-29.04,101674.33
50.4,-29.04,101674.33
50.46,-29.04,101674.33
50.53,-29.04,101674.33
50.6,-29.04,101674.33
50.66,-29.04,101674.33
50.73,-29.04,101674.33
50.8,-29.04,101674.33
50.87,-29.04,101674.33
50.93,-29.04,101674.33
51.0,-29.04,101674.33
51.07,-29.04,101674.33
51.13,-29.04,101674.33
51.2,-29.04,101674.33
51.27,-29.04,101674.33
51.33,-29.04,101674.33
51.4,-29.04,101674.33
51.47,-29.04,101674.33
51.53,-29.04,101674.33
51.6,-29.04,101674.33
51.67,-29.04,101674.33
51.73,-29.04,101674.33
51.8,-29.04,101674.33
51.87,-29.04,101674.33
51.94,-29.04,101674.33
52.0,-29.04,101674.33
52.07,-29.04,101674.33
52.14,-29.04,101674.33
52.2,-29.04,101674.33
52.27,-29.04,101674.33
52.33,-29.04,101674.33
52.4,-29.04,101674.33
52.47,-29.04,101674.33
52.53,-29.04,101674.33
52.6,-29.04,101674.33
52.66,-29.04,101674.33
52.73,-29.04,101674.33
52.79,-29.04,101674.33
52.86,-29.04,101674.33
52.93,-29.04,101674.33
52.99,-29.04,101674.33
53.06,-29.04,101674.33
53.12,-29.04,101674.33
53.19,-29.04,101674.33
53.26,-29.04,101674.33
53.32,-29.04,101674.33
53.39,-29.04,101674.33
53.46,-29.04,101674.33
53.52,-29.04,101674.33
53.59,-29.04,101674.33
53.66,-29.04,101674.33
53.72,-29.04,101674.33
53.79,-29.04,101674.33
53.85,-29.04,101674.33
53.92,-29.04,101674.33
53.99,-29.04,101674.33
54.05,-29.04,101674.33
54.12,-29.04,101674.33
54.18,-29.04,101674.33
54.25,-29.04,101674.33
54.32,-29.04,101674.33
54.38,-29.04,101674.33
54.45,-29.04,101674.33
54.52,-29.04,101674.33
54.58,-29.04,101674.33
54.65,-29.04,101674.33
54.72,-29.04,101674.33
54.78,-29.04,101674.33
54.85,-29.04,101674.33
54.91,-29.04,101674.33
54.98,-29.04,101674.33
55.05,-29.04,101674.33
55.11,-29.04,101674.33
55.18,-29.04,101674.33
55.25,-29.04,101674.33
55.31,-29.04,101674.33
55.38,-29.04,101674.33
55.45,-29.04,101674.33
55.51,-29.04,101674.33
55.58,-29.04,101674.33
55.65,-29.04,101674.33
55.71,-29.04,101674.33
55.78,-29.04,101674.33
55.85,-29.04,101674.33
55.91,-29.04,101674.33
55.98,-29.04,101674.33
56.04,-29.04,101674.33
56.11,-29.04,101674.33
56.18,-29.04,101674.33
56.24,-29.04,101674.33
56.31,-29.04,101674.33
56.38,-29.04,101674.33
56.44,-29.04,101674.33
56.51,-29.04,101674.33
56.58,-29.04,101674.33
56.64,-29.04,101674.33
56.71,-29.04,101674.33
56.78,-29.04,101674.33
56.84,-29.04,101674.33
56.91,-29.04,101674.33
56.98,-29.04,101674.33
57.04,-29.04,101674.33
57.11,-29.04,101674.33
57.18,-29.04,101674.33
57.24,-29.04,101674.33
57.31,-29.04,101674.33
57.37,-29.04,101674.33
57.44,-29.04,101674.33
57.51,-29.04,101674.33
57.58,-29.04,101674.33
57.64,-29.04,101674.33
57.71,-29.04,101674.33
57.78,-29.04,101674.33
57.84,-29.04,101674.33
57.91,-29.04,101674.33
57.98,-29.04,101674.33
58.04,-29.04,101674.33
58.11,-29.04,101674.33
58.18,-29.04,101674.33
58.24,-29.04,101674.33
58.31,-29.04,101674.33
58.38,-29.04,101674.33
58.45,-29.04,101674.33
58.52,-29.04,101674.33
58.58,-29.04,101674.33
58.65,-29.04,101674.33
58.71,-29.04,101674.33
58.78,-29.04,101674.33
58.85,-29.04,101674.33
58.91,-29.04,101674.33
58.98,-29.04,101674.33
59.05,-29.04,101674.33
59.11,-29.04,101674.33
59.18,-29.04,101674.33
59.24,-29.04,101674.33
59.31,-29.04,101674.33
59.38,-29.04,101674.33
59.44,-29.04,101674.33
59.51,-29.04,101674.33
59.57,-29.04,101674.33
59.64,-29.04,101674.33
59.71,-29.04,101674.33
59.77,-29.04,101674.33
59.84,-29.04,101674.33
59.91,-29.04,101674.33
59.97,-29.04,101674.33
60.04,-29.04,101674.33
60.1,-29.04,101674.33
60.17,-29.04,101674.33
60.24,-29.04,101674.33
60.3,-29.04,101674.33
60.37,-29.04,101674.33
60.43,-29.04,101674.33
60.5,-29.04,101674.33
60.57,-29.04,101674.33
60.63,-29.04,101674.33
60.7,-29.04,101674.33
60.77,-29.04,101674.33
60.83,-29.04,101674.33
60.9,-29.04,101674.33
60.96,-29.04,101674.33
61.03,-29.04,101674.33
61.1,-29.04,101674.33
61.16,-29.04,101674.33
61.23,-29.04,101674.33
61.3,-29.04,101674.33
61.36,-29.04,101674.33
61.43,-29.04,101674.33
61.5,-29.04,101674.33
61.56,-29.04,101674.33
61.63,-29.04,101674.33
61.7,-29.04,101674.33
61.76,-29.04,101674.33
61.83,-29.04,101674.33
61.9,-29.04,101674.33
61.96,-29.04,101674.33
62.03,-29.04,101674.33
62.1,-29.04,101674.33
62.16,-29.04,101674.33
62.23,-29.04,101674.33
62.29,-29.04,101674.33
62.36,-29.04,101674.33
62.43,-29.04,101674.33
62.49,-29.04,101674.33
62.56,-29.04,101674.33
62.63,-29.04,101674.33
62.69,-29.04,101674.33
62.77,-29.04,101674.33
62.83,-29.04,101674.33
62.9,-29.04,101674.33
62.97,-29.04,101674.33
63.03,-29.04,101674.33
63.1,-29.04,101674.33
63.17,-29.04,101674.33
63.23,-29.04,101674.33
63.3,-29.04,101674.33
63.36,-29.04,101674.33
63.43,-29.04,101674.33
63.49,-29.04,101674.33
63.56,-29.04,101674.33
63.63,-29.04,101674.33
63.69,-29.04,101674.33
63.76,-29.04,101674.33
63.82,-29.04,101674.33
63.89,-29.04,101674.33
63.96,-29.04,101674.33
64.02,-29.04,101674.33
64.09,-29.04,101674.33
64.16,-29.04,101674.33
64.22,-29.04,101674.33
64.29,-29.04,101674.33
64.35,-29.04,101674.33
64.42,-29.04,101674.33
64.49,-29.04,101674.33
64.55,-29.04,101674.33
64.62,-29.04,101674.33
64.68,-29.04,101674.33
64.75,-29.04,101674.33
64.82,-29.04,101674.33
64.88,-29.04,101674.33
