ElapsedSec,AccX,AccY,AccZ
10.48,-8.84,-0.45,4.15
10.55,-8.84,-0.45,4.15
10.62,-8.84,-0.45,4.15
10.68,-8.84,-0.45,4.15
10.75,-8.84,-0.45,4.15
10.82,-8.84,-0.45,4.15
10.89,-8.84,-0.45,4.15
10.96,-8.84,-0.45,4.15
11.02,-8.84,-0.45,4.15
11.09,-8.84,-0.45,4.15
11.16,-8.84,-0.45,4.15
11.22,-8.84,-0.45,4.15
11.29,-8.84,-0.45,4.15
11.35,-8.84,-0.45,4.15
11.42,-8.84,-0.45,4.15
11.49,-8.84,-0.45,4.15
11.55,-8.84,-0.45,4.15
11.62,-8.84,-0.45,4.15
11.68,-8.84,-0.45,4.15
11.75,-8.84,-0.45,4.15
11.82,-8.84,-0.45,4.15
11.88,-8.84,-0.45,4.15
11.95,-8.84,-0.45,4.15
12.02,-8.84,-0.45,4.15
12.08,-8.84,-0.45,4.15
12.15,-8.84,-0.45,4.15
12.21,-8.84,-0.45,4.15
12.28,-8.84,-0.45,4.15
12.35,-8.84,-0.45,4.15
12.41,-8.84,-0.45,4.15
12.48,-8.84,-0.45,4.15
12.54,-8.84,-0.45,4.15
12.61,-8.84,-0.45,4.15
12.67,-8.84,-0.45,4.15
12.74,-8.84,-0.45,4.15
12.81,-8.84,-0.45,4.15
12.87,-8.84,-0.45,4.15
12.94,-8.84,-0.45,4.15
13.01,-8.84,-0.45,4.15
13.1,-8.84,-0.45,4.15
13.16,-8.84,-0.45,4.15
13.23,-8.84,-0.45,4.15
13.3,-8.84,-0.45,4.15
13.36,-8.84,-0.45,4.15
13.43,-8.84,-0.45,4.15
13.5,-8.84,-0.45,4.15
13.56,-8.84,-0.45,4.15
13.63,-8.84,-0.45,4.15
13.69,-8.84,-0.45,4.15
13.76,-8.84,-0.45,4.15
13.83,-8.84,-0.45,4.15
13.89,-8.84,-0.45,4.15
13.96,-8.84,-0.45,4.15
14.04,-8.84,-0.45,4.15
14.1,-8.84,-0.45,4.15
14.17,-8.84,-0.45,4.15
14.24,-8.84,-0.45,4.15
14.3,-8.84,-0.45,4.15
14.37,-8.84,-0.45,4.15
14.44,-8.84,-0.45,4.15
14.5,-8.84,-0.45,4.15
14.57,-8.84,-0.45,4.15
14.63,-8.84,-0.45,4.15
14.7,-8.84,-0.45,4.15
14.77,-8.84,-0.45,4.15
14.83,-8.84,-0.45,4.15
14.9,-8.84,-0.45,4.15
14.97,-8.84,-0.45,4.15
15.03,-8.84,-0.45,4.15
15.1,-8.84,-0.45,4.15
15.17,-8.84,-0.45,4.15
15.23,-8.84,-0.45,4.15
15.3,-8.84,-0.45,4.15
15.37,-8.84,-0.45,4.15
15.43,-8.84,-0.45,4.15
15.5,-8.84,-0.45,4.15
15.57,-8.84,-0.45,4.15
15.63,-8.84,-0.45,4.15
15.7,-8.84,-0.45,4.15
15.77,-8.84,-0.45,4.15
15.83,-8.84,-0.45,4.15
15.9,-8.84,-0.45,4.15
15.97,-8.84,-0.45,4.15
16.03,-8.84,-0.45,4.15
16.1,-8.84,-0.45,4.15
16.16,-8.84,-0.45,4.15
16.23,-8.84,-0.45,4.15
16.3,-8.84,-0.45,4.15
16.37,-8.84,-0.45,4.15
16.43,-8.84,-0.45,4.15
16.5,-8.84,-0.45,4.15
16.56,-8.84,-0.45,4.15
16.63,-8.84,-0.45,4.15
16.7,-8.84,-0.45,4.15
16.76,-8.84,-0.45,4.15
16.83,-8.84,-0.45,4.15
16.9,-8.84,-0.45,4.15
16.96,-8.84,-0.45,4.15
17.03,-8.84,-0.45,4.15
17.1,-8.84,-0.45,4.15
17.17,-8.84,-0.45,4.15
17.24,-8.84,-0.45,4.15
17.31,-8.84,-0.45,4.15
17.37,-8.84,-0.45,4.15
17.44,-8.84,-0.45,4.15
17.5,-8.84,-0.45,4.15
17.57,-8.84,-0.45,4.15
17.64,-8.84,-0.45,4.15
17.7,-8.84,-0.45,4.15
17.77,-8.84,-0.45,4.15
17.83,-8.84,-0.45,4.15
17.9,-8.84,-0.45,4.15
17.97,-8.84,-0.45,4.15
18.03,-8.84,-0.45,4.15
18.1,-8.84,-0.45,4.15
18.16,-8.84,-0.45,4.15
18.23,-8.84,-0.45,4.15
18.3,-8.84,-0.45,4.15
18.36,-8.84,-0.45,4.15
18.43,-8.84,-0.45,4.15
18.5,-8.84,-0.45,4.15
18.56,-8.84,-0.45,4.15
18.63,-8.84,-0.45,4.15
18.69,-8.84,-0.45,4.15
18.76,-8.84,-0.45,4.15
18.83,-8.84,-0.45,4.15
18.89,-8.84,-0.45,4.15
18.96,-8.84,-0.45,4.15
19.02,-8.84,-0.45,4.15
19.09,-8.84,-0.45,4.15
19.16,-8.84,-0.45,4.15
19.22,-8.84,-0.45,4.15
19.29,-8.84,-0.45,4.15
19.35,-8.84,-0.45,4.15
19.42,-8.84,-0.45,4.15
19.49,-8.84,-0.45,4.15
19.55,-8.84,-0.45,4.15
19.62,-8.84,-0.45,4.15
19.69,-8.84,-0.45,4.15
19.75,-8.84,-0.45,4.15
19.82,-8.84,-0.45,4.15
19.88,-8.84,-0.45,4.15
19.95,-8.84,-0.45,4.15
20.02,-8.84,-0.45,4.15
20.08,-8.84,-0.45,4.15
20.15,-8.84,-0.45,4.15
20.22,-8.84,-0.45,4.15
20.28,-8.84,-0.45,4.15
20.35,-8.84,-0.45,4.15
20.42,-8.84,-0.45,4.15
20.48,-8.84,-0.45,4.15
20.55,-8.84,-0.45,4.15
20.61,-8.84,-0.45,4.15
20.68,-8.84,-0.45,4.15
20.75,-8.84,-0.45,4.15
20.81,-8.84,-0.45,4.15
20.88,-8.84,-0.45,4.15
20.95,-8.84,-0.45,4.15
21.01,-8.84,-0.45,4.15
21.08,-8.84,-0.45,4.15
21.15,-8.84,-0.45,4.15
21.21,-8.84,-0.45,4.15
21.28,-8.84,-0.45,4.15
21.34,-8.84,-0.45,4.15
21.41,-8.84,-0.45,4.15
