ElapsedSec,MagX,MagY,MagZ
11.22,520.88,-81.25,201.75
11.29,520.88,-81.25,201.75
11.35,520.88,-81.25,201.75
11.42,520.88,-81.25,201.75
11.49,520.88,-81.25,201.75
11.55,520.88,-81.25,201.75
11.62,520.88,-81.25,201.75
11.68,520.88,-81.25,201.75
11.75,520.88,-81.25,201.75
11.82,520.88,-81.25,201.75
11.88,520.88,-81.25,201.75
11.95,520.88,-81.25,201.75
12.02,520.88,-81.25,201.75
12.08,520.88,-81.25,201.75
12.15,520.88,-81.25,201.75
12.21,520.88,-81.25,201.75
12.28,520.88,-81.25,201.75
12.35,520.88,-81.25,201.75
12.41,520.88,-81.25,201.75
12.48,520.88,-81.25,201.75
12.54,520.88,-81.25,201.75
12.61,520.88,-81.25,201.75
12.67,520.88,-81.25,201.75
12.74,520.88,-81.25,201.75
12.81,520.88,-81.25,201.75
12.87,520.88,-81.25,201.75
12.94,520.88,-81.25,201.75
13.01,520.88,-81.25,201.75
13.1,520.88,-81.25,201.75
13.16,520.88,-81.25,201.75
13.23,520.88,-81.25,201.75
13.3,520.88,-81.25,201.75
13.36,520.88,-81.25,201.75
13.43,520.88,-81.25,201.75
13.5,520.88,-81.25,201.75
13.56,520.88,-81.25,201.75
13.63,520.88,-81.25,201.75
13.69,520.88,-81.25,201.75
13.76,520.88,-81.25,201.75
13.83,520.88,-81.25,201.75
13.89,520.88,-81.25,201.75
13.96,520.88,-81.25,201.75
14.04,520.88,-81.25,201.75
14.1,520.88,-81.25,201.75
14.17,520.88,-81.25,201.75
14.24,520.88,-81.25,201.75
14.3,520.88,-81.25,201.75
14.37,520.88,-81.25,201.75
14.44,520.88,-81.25,201.75
14.5,520.88,-81.25,201.75
14.57,520.88,-81.25,201.75
14.63,520.88,-81.25,201.75
14.7,520.88,-81.25,201.75
14.77,520.88,-81.25,201.75
14.83,520.88,-81.25,201.75
14.9,520.88,-81.25,201.75
14.97,520.88,-81.25,201.75
15.03,520.88,-81.25,201.75
15.1,520.88,-81.25,201.75
15.17,520.88,-81.25,201.75
15.23,520.88,-81.25,201.75
15.3,520.88,-81.25,201.75
15.37,520.88,-81.25,201.75
15.43,520.88,-81.25,201.75
15.5,520.88,-81.25,201.75
15.57,520.88,-81.25,201.75
15.63,520.88,-81.25,201.75
15.7,520.88,-81.25,201.75
15.77,520.88,-81.25,201.75
15.83,520.88,-81.25,201.75
15.9,520.88,-81.25,201.75
15.97,520.88,-81.25,201.75
16.03,520.88,-81.25,201.75
16.1,520.88,-81.25,201.75
16.16,520.88,-81.25,201.75
16.23,520.88,-81.25,201.75
16.3,520.88,-81.25,201.75
16.37,520.88,-81.25,201.75
16.43,520.88,-81.25,201.75
16.5,520.88,-81.25,201.75
16.56,520.88,-81.25,201.75
16.63,520.88,-81.25,201.75
16.7,520.88,-81.25,201.75
16.76,520.88,-81.25,201.75
16.83,520.88,-81.25,201.75
16.9,520.88,-81.25,201.75
16.96,520.88,-81.25,201.75
