ElapsedSec,Phase,MissionElapsedSec,MissionEndReason,MissionTotalTimeout
10.42,0,10.42,RUNNING,0
10.48,0,10.48,RUNNING,0
10.55,0,10.55,RUNNING,0
10.62,0,10.62,RUNNING,0
10.68,0,10.68,RUNNING,0
10.75,0,10.75,RUNNING,0
10.82,0,10.82,RUNNING,0
10.89,0,10.89,RUNNING,0
10.96,0,10.96,RUNNING,0
11.02,0,11.02,RUNNING,0
11.09,0,11.09,RUNNING,0
11.16,0,11.16,RUNNING,0
11.22,0,11.22,RUNNING,0
11.29,0,11.29,RUNNING,0
11.35,0,11.35,RUNNING,0
11.42,0,11.42,RUNNING,0
11.49,0,11.49,RUNNING,0
11.55,0,11.55,RUNNING,0
11.62,0,11.62,RUNNING,0
11.68,0,11.68,RUNNING,0
11.75,0,11.75,RUNNING,0
11.82,0,11.82,RUNNING,0
11.88,0,11.88,RUNNING,0
11.95,0,11.95,RUNNING,0
12.02,0,12.02,RUNNING,0
12.08,0,12.08,RUNNING,0
12.15,0,12.15,RUNNING,0
12.21,0,12.21,RUNNING,0
12.28,0,12.28,RUNNING,0
12.35,0,12.35,RUNNING,0
12.41,0,12.41,RUNNING,0
12.48,0,12.48,RUNNING,0
12.54,0,12.54,RUNNING,0
12.61,0,12.61,RUNNING,0
12.67,0,12.67,RUNNING,0
12.74,0,12.74,RUNNING,0
12.81,0,12.81,RUNNING,0
12.87,0,12.87,RUNNING,0
12.94,0,12.94,RUNNING,0
13.01,0,13.01,RUNNING,0
13.1,0,13.1,RUNNING,0
13.16,0,13.16,RUNNING,0
13.23,0,13.23,RUNNING,0
13.3,0,13.3,RUNNING,0
13.36,0,13.36,RUNNING,0
13.43,0,13.43,RUNNING,0
13.5,0,13.5,RUNNING,0
13.56,0,13.56,RUNNING,0
13.63,0,13.63,RUNNING,0
13.69,0,13.69,RUNNING,0
13.76,0,13.76,RUNNING,0
13.83,0,13.83,RUNNING,0
13.89,0,13.89,RUNNING,0
13.96,0,13.96,RUNNING,0
14.04,0,14.04,RUNNING,0
14.1,0,14.1,RUNNING,0
14.17,0,14.17,RUNNING,0
14.24,0,14.24,RUNNING,0
14.3,0,14.3,RUNNING,0
14.37,0,14.37,RUNNING,0
14.44,0,14.44,RUNNING,0
14.5,0,14.5,RUNNING,0
14.57,0,14.57,RUNNING,0
14.63,0,14.63,RUNNING,0
14.7,0,14.7,RUNNING,0
14.77,0,14.77,RUNNING,0
14.83,0,14.83,RUNNING,0
14.9,0,14.9,RUNNING,0
14.97,0,14.97,RUNNING,0
15.03,0,15.03,RUNNING,0
15.1,0,15.1,RUNNING,0
15.17,0,15.17,RUNNING,0
15.23,0,15.23,RUNNING,0
15.3,0,15.3,RUNNING,0
15.37,0,15.37,RUNNING,0
15.43,0,15.43,RUNNING,0
15.5,0,15.5,RUNNING,0
15.57,0,15.57,RUNNING,0
15.63,0,15.63,RUNNING,0
15.7,0,15.7,RUNNING,0
15.77,0,15.77,RUNNING,0
15.83,0,15.83,RUNNING,0
15.9,0,15.9,RUNNING,0
15.97,0,15.97,RUNNING,0
16.03,0,16.03,RUNNING,0
16.1,0,16.1,RUNNING,0
16.16,0,16.16,RUNNING,0
16.23,0,16.23,RUNNING,0
16.3,0,16.3,RUNNING,0
16.37,0,16.37,RUNNING,0
16.43,0,16.43,RUNNING,0
16.5,0,16.5,RUNNING,0
16.56,0,16.56,RUNNING,0
